Age,Incidence and Survival Assumptions,Year,Sex,Annual Cost Increase (applied to initial and last phases),Total Costs,Initial Year After Diagnosis Cost,Continuing Phase Cost,Last Year of Life Cost,"Standard Deviation for all Initial, Continuing, and Last year",Initial Cost Exceeds Last Year of Life
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,3995.5,1260.2,1616.7,1118.7,256.6185560970472,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,3995.5,1260.2,1616.7,1118.7,256.6185560970472,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,3995.5,1260.2,1616.7,1118.7,256.6185560970472,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,5438.1,798.2,2097.6,2542.3,906.2820808114877,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,5309.2,762.4,2060.5,2486.3,897.9792555139197,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,5470.0,798.2,2111.1,2560.7,915.8104625594387,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,5339.8,762.4,2073.4,2504.0,907.1298988200826,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,5339.8,762.4,2073.4,2504.0,907.1298988200826,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,5339.8,762.4,2073.4,2504.0,907.1298988200826,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,12120.7,5240.7,1850.0,5030.0,1899.7210751405937,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,11349.5,4738.5,1817.4,4793.7,1702.6564509612617,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,12196.0,5240.7,1870.8,5084.6,1902.1524500768421,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,11418.4,4738.5,1836.4,4843.5,1706.646800991152,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,11418.4,4738.5,1836.4,4843.5,1706.646800991152,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,11418.4,4738.5,1836.4,4843.5,1706.646800991152,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,12142.5,3162.8,4890.0,4089.7,864.3729461291579,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,12086.3,3119.6,4884.9,4081.7,883.8411188292458,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,12186.1,3162.8,4913.0,4110.3,876.097747590606,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,12129.4,3119.6,4907.7,4102.1,895.5072324293832,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,12129.4,3119.6,4907.7,4102.1,895.5072324293832,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,12129.4,3119.6,4907.7,4102.1,895.5072324293832,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,2363.2,490.2,1542.4,330.6,658.4142870057829,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,2460.3,562.9,1555.2,342.2,646.1084506489603,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,2364.9,490.2,1543.7,331.0,659.0205080268747,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,2462.2,562.9,1556.6,342.7,646.7200502020432,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,2462.2,562.9,1556.6,342.7,646.7200502020432,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,2462.2,562.9,1556.6,342.7,646.7200502020432,True
All ages,Incidence/Survival at constant rate,2010,Females,0%,5116.1,1391.2,1654.8,2070.1,342.2631200309687,False
All ages,Incidence follows recent trend/Survival constant,2010,Females,0%,4702.6,1077.6,1630.2,1994.7,461.7537980352734,False
All ages,Survival follows recent trend/Incidence constant,2010,Females,0%,5140.8,1391.2,1664.0,2085.6,349.84705229571387,False
All ages,Incidence/Survival follow recent trends,2010,Females,0%,4723.6,1077.6,1638.1,2007.9,468.39626742036853,False
All ages,Incidence/Survival follow recent trends,2010,Females,2%,4723.6,1077.6,1638.1,2007.9,468.39626742036853,False
All ages,Incidence/Survival follow recent trends,2010,Females,5%,4723.6,1077.6,1638.1,2007.9,468.39626742036853,False
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,2266.0,1439.0,99.1,727.9,670.3711235825521,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,2251.0,1428.3,98.9,723.8,665.0970630917966,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,2317.6,1439.0,109.8,768.8,664.6078643330467,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,2302.3,1428.3,109.5,764.5,659.4048933192211,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,2302.3,1428.3,109.5,764.5,659.4048933192211,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,2302.3,1428.3,109.5,764.5,659.4048933192211,True
All ages,Incidence/Survival at constant rate,2010,Males,0%,11848.1,4547.3,6187.8,1113.0,2589.6992032537937,True
All ages,Incidence follows recent trend/Survival constant,2010,Males,0%,11667.0,4393.4,6164.4,1109.2,2565.0684747195346,True
All ages,Survival follows recent trend/Incidence constant,2010,Males,0%,11854.1,4547.3,6193.0,1113.7,2591.564068923115,True
All ages,Incidence/Survival follow recent trends,2010,Males,0%,11672.9,4393.4,6169.5,1109.9,2566.9520064335707,True
All ages,Incidence/Survival follow recent trends,2010,Males,2%,11672.9,4393.4,6169.5,1109.9,2566.9520064335707,True
All ages,Incidence/Survival follow recent trends,2010,Males,5%,11672.9,4393.4,6169.5,1109.9,2566.9520064335707,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,1820.1,832.8,230.1,757.3,328.3512803893618,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,1697.0,746.5,226.2,724.3,294.196232697384,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,1839.8,832.8,234.1,773.0,329.75519707807484,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,1715.3,746.5,229.9,738.9,296.0896035549599,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,1715.3,746.5,229.9,738.9,296.0896035549599,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,1715.3,746.5,229.9,738.9,296.0896035549599,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,2622.6,1060.3,791.5,770.7,161.53133854869563,True
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,2544.5,1000.8,783.4,760.2,132.72111110646009,True
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,2622.2,1060.3,791.2,770.7,161.60817842341183,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,2544.2,1000.8,783.1,760.2,132.7943648402797,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,2544.2,1000.8,783.1,760.2,132.7943648402797,True
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,2544.2,1000.8,783.1,760.2,132.7943648402797,True
All ages,Incidence/Survival at constant rate,2010,Both sexes,0%,19424.8,4016.4,10584.7,4823.7,3581.978484487775,False
All ages,Incidence follows recent trend/Survival constant,2010,Both sexes,0%,20599.0,4430.3,10925.6,5243.1,3538.840963272203,False
All ages,Survival follows recent trend/Incidence constant,2010,Both sexes,0%,19844.7,4016.4,10931.3,4897.0,3763.9534813809796,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,0%,21019.6,4430.3,11268.3,5321.0,3717.5701692548223,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,2%,21019.6,4430.3,11268.3,5321.0,3717.5701692548223,False
All ages,Incidence/Survival follow recent trends,2010,Both sexes,5%,21019.6,4430.3,11268.3,5321.0,3717.5701692548223,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,127758.4,41204.7,48073.5,38480.2,4943.59381051208,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,125033.9,38926.8,47986.1,38121.0,5477.840635079969,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,128953.1,41204.7,48788.0,38960.3,5149.877952275503,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,126201.7,38926.8,48684.3,38590.6,5733.012826022052,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,127631.8,39705.4,48684.3,39242.1,5322.756693982297,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,129776.9,40873.2,48684.3,40219.4,4709.834916781409,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,4049.4,996.9,1928.2,1124.3,504.94317502071465,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,3931.3,931.5,1896.9,1102.9,515.0746094822898,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,4059.7,996.9,1934.7,1128.1,507.8198236907785,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,3941.2,931.5,1903.2,1106.5,517.9377021740485,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,3976.4,950.2,1903.2,1123.1,507.717017638763,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,4029.2,978.1,1903.2,1147.9,492.4632202848588,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,4576.8,1280.8,1092.7,2203.3,594.393278898744,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,4535.1,1251.8,1090.6,2192.7,595.2454199739801,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,4621.9,1280.8,1103.6,2237.6,610.0303380433905,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,4579.6,1251.8,1101.3,2226.5,610.8416843449155,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,4647.3,1276.8,1101.3,2269.1,629.7110951327866,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,4748.8,1314.4,1101.3,2333.1,658.342937482687,False
All ages,Incidence/Survival at constant rate,2011,Females,0%,16909.4,6127.0,6959.1,3823.3,1624.4314769584262,True
All ages,Incidence follows recent trend/Survival constant,2011,Females,0%,16247.3,5684.6,6828.5,3734.2,1564.5691558168126,True
All ages,Survival follows recent trend/Incidence constant,2011,Females,0%,16929.1,6127.0,6971.5,3830.6,1625.417178244814,True
All ages,Incidence/Survival follow recent trends,2011,Females,0%,16266.0,5684.6,6840.3,3741.1,1566.1989752263282,True
All ages,Incidence/Survival follow recent trends,2011,Females,2%,16452.6,5798.3,6840.3,3814.0,1537.4059418383943,True
All ages,Incidence/Survival follow recent trends,2011,Females,5%,16732.5,5968.9,6840.3,3923.4,1497.3150314256961,True
All ages,Incidence/Survival at constant rate,2011,Females,0%,1546.2,493.4,367.1,685.7,160.43531406769523,False
All ages,Incidence follows recent trend/Survival constant,2011,Females,0%,1377.3,375.7,352.9,648.7,164.593681531218,False
All ages,Survival follows recent trend/Incidence constant,2011,Females,0%,1546.8,493.4,367.2,686.1,160.60144250078622,False
All ages,Incidence/Survival follow recent trends,2011,Females,0%,1377.7,375.7,353.0,649.0,164.7342202862943,False
All ages,Incidence/Survival follow recent trends,2011,Females,2%,1397.1,383.2,353.0,660.9,169.72121258110312,False
All ages,Incidence/Survival follow recent trends,2011,Females,5%,1426.2,394.5,353.0,678.7,177.2814993167646,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,14414.5,6038.9,3984.4,4391.2,1087.9163402271945,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,13401.6,5295.0,3892.2,4214.4,734.7740060726156,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,14480.8,6038.9,4014.0,4427.9,1069.8017121566656,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,13462.2,5295.0,3919.2,4247.9,718.4807745050201,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,13633.0,5400.9,3919.2,4312.9,767.4827446485904,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,13889.4,5559.7,3919.2,4410.4,841.9628040081898,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,1377.3,591.0,153.8,632.5,265.21053900627703,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,1359.5,579.5,152.8,627.1,261.1829307847918,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,1429.1,591.0,164.5,673.6,273.2239069578893,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,1410.8,579.5,163.5,667.8,269.31127591197014,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,1434.4,591.1,163.5,679.8,276.0661575299177,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,1469.9,608.5,163.5,697.9,286.240202161285,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,3700.4,1101.0,1024.8,1574.6,297.87677541784507,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,3548.9,999.9,1010.7,1538.3,307.7750693823873,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,3707.7,1101.0,1027.5,1579.1,299.5119418876872,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,3555.8,999.9,1013.4,1542.5,309.44676978978686,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,3604.4,1019.9,1013.4,1571.2,320.1860865184495,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,3677.3,1049.9,1013.4,1614.1,336.7725196627539,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,3923.9,1152.3,1646.5,1125.1,293.4937364465098,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,4153.2,1311.1,1680.1,1161.9,266.7560933387151,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,3949.9,1152.3,1661.8,1135.8,299.0369263708636,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,4181.6,1311.1,1696.8,1173.6,271.23451722325706,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,4225.5,1337.4,1696.8,1191.3,260.1422111076939,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,4291.4,1376.7,1696.8,1217.8,243.97889936085318,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,5581.7,809.8,2160.8,2611.1,937.4302445160031,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,5439.7,771.8,2118.9,2549.1,927.2311596000931,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,5627.8,809.8,2180.6,2637.4,951.1292095889671,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,5483.8,771.8,2137.8,2574.3,940.3451937099129,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,5545.7,787.2,2137.8,2620.7,950.3538832105297,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,5638.5,810.3,2137.8,2690.4,966.2986960562454,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,12375.1,5355.9,1885.9,5133.3,1942.3378319266021,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,11446.9,4773.0,1837.3,4836.6,1713.5820153506904,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,12477.9,5355.9,1914.7,5207.3,1945.3000693980352,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,11539.6,4773.0,1863.3,4903.3,1718.765651080255,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,11726.5,4868.5,1863.3,4994.7,1772.6072811915597,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,12006.7,5011.7,1863.3,5131.8,1853.3725484460304,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,12451.3,3215.0,5023.0,4213.3,905.6379869094126,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,12379.4,3164.8,5013.6,4200.9,926.6468169336868,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,12515.3,3215.0,5056.4,4243.8,922.8129243423789,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,12442.8,3164.8,5046.8,4231.1,943.776649071873,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,12580.5,3228.1,5046.8,4305.5,914.5113576841644,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,12787.0,3323.1,5046.8,4417.0,872.2009458834588,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,2446.0,498.9,1607.3,339.8,690.4611526605485,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,2575.5,585.1,1634.5,355.9,681.7368700605828,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,2448.5,498.9,1609.3,340.4,691.4016705215572,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,2578.3,585.1,1636.7,356.6,682.7311354650038,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,2596.7,596.8,1636.7,363.3,677.9210647265654,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,2624.4,614.4,1636.7,373.4,670.7092241301989,True
All ages,Incidence/Survival at constant rate,2011,Females,0%,5216.4,1409.0,1687.4,2119.9,358.22284032894015,False
All ages,Incidence follows recent trend/Survival constant,2011,Females,0%,4704.2,1045.9,1644.0,2014.3,488.6451098019229,False
All ages,Survival follows recent trend/Incidence constant,2011,Females,0%,5252.4,1409.0,1701.1,2142.3,369.1676990203776,False
All ages,Incidence/Survival follow recent trends,2011,Females,0%,4734.1,1045.9,1655.3,2032.8,497.9702501154059,False
All ages,Incidence/Survival follow recent trends,2011,Females,2%,4794.0,1066.8,1655.3,2071.8,504.94710944150717,False
All ages,Incidence/Survival follow recent trends,2011,Females,5%,4883.9,1098.2,1655.3,2130.4,516.6425682552042,False
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,2324.0,1466.3,105.1,752.6,680.8682422710971,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,2307.8,1454.8,104.8,748.2,675.2465130108658,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,2393.9,1466.3,119.8,807.8,673.3038566155205,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,2377.2,1454.8,119.4,803.0,667.7631017059867,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,2421.6,1483.9,119.4,818.3,682.3177192481521,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,2488.2,1527.6,119.4,841.2,704.1741545952962,True
All ages,Incidence/Survival at constant rate,2011,Males,0%,12219.1,4670.2,6404.7,1144.2,2680.6102072724657,True
All ages,Incidence follows recent trend/Survival constant,2011,Males,0%,11983.9,4482.7,6363.4,1137.8,2646.76796174756,True
All ages,Survival follows recent trend/Incidence constant,2011,Males,0%,12228.7,4670.2,6413.0,1145.4,2683.5665521838655,True
All ages,Incidence/Survival follow recent trends,2011,Males,0%,11993.3,4482.7,6371.5,1139.1,2649.6929432168804,True
All ages,Incidence/Survival follow recent trends,2011,Males,2%,12088.1,4572.4,6371.5,1144.2,2655.622379656666,True
All ages,Incidence/Survival follow recent trends,2011,Males,5%,12230.2,4706.9,6371.5,1151.8,2666.2988473412606,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,1858.4,849.1,235.1,774.3,334.9944477151823,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,1708.0,747.2,229.2,731.7,294.6948987229561,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,1885.4,849.1,240.8,795.5,336.7971545802211,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,1732.7,747.2,234.4,751.1,297.19744839640424,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,1760.9,762.1,234.4,764.4,305.33385553084895,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,1803.2,784.6,234.4,784.3,317.5715509928432,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,2654.3,1082.3,797.9,774.1,171.48228285549888,True
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,2565.6,1016.6,787.5,761.5,140.37973500473635,True
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,2653.8,1082.3,797.4,774.1,171.60911980428077,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,2565.1,1016.6,787.0,761.5,140.50054566916577,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,2598.4,1036.9,787.0,774.4,148.0512411295495,True
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,2648.3,1067.4,787.0,793.9,159.93437195716672,True
All ages,Incidence/Survival at constant rate,2011,Both sexes,0%,20134.3,4066.9,11009.7,5057.7,3755.2288097176365,False
All ages,Incidence follows recent trend/Survival constant,2011,Both sexes,0%,21368.7,4455.6,11348.2,5564.9,3701.0142785458156,False
All ages,Survival follows recent trend/Incidence constant,2011,Both sexes,0%,20744.2,4066.9,11510.0,5167.3,4017.471448975504,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,0%,21979.9,4455.6,11841.4,5682.9,3957.765134938319,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,2%,22148.7,4544.7,11841.4,5762.6,3908.8984113174392,False
All ages,Incidence/Survival follow recent trends,2011,Both sexes,5%,22401.9,4678.4,11841.4,5882.1,3835.594677491353,False
